[08/03/2026 06:32:01] Percent: 86% | Status: Discharging
[08/03/2026 06:33:01] Percent: 86% | Status: Discharging
[08/03/2026 06:34:01] Percent: 85% | Status: Discharging
[08/03/2026 06:35:01] Percent: 85% | Status: Discharging
[08/03/2026 06:36:01] Percent: 85% | Status: Discharging
[08/03/2026 06:37:01] Percent: 84% | Status: Discharging
[08/03/2026 06:38:01] Percent: 84% | Status: Discharging
[08/03/2026 06:39:01] Percent: 83% | Status: Discharging
[08/03/2026 06:40:01] Percent: 83% | Status: Discharging
[08/03/2026 06:41:01] Percent: 83% | Status: Discharging
[08/03/2026 06:42:01] Percent: 82% | Status: Discharging
[08/03/2026 06:43:01] Percent: 82% | Status: Discharging
[08/03/2026 06:44:01] Percent: 81% | Status: Discharging
[08/03/2026 06:45:01] Percent: 81% | Status: Discharging
